ChunkCoordX,ChunkCoordY,RealDominantTerrain,RealTerrainCellCount,WaterCellCount,TotalCellCount,CurrentState
-4,-1,Volcano,48,33,81,Hidden
-4,0,Rock,32,28,81,Hidden
-4,1,Rock,66,15,81,Hidden
-3,-3,Volcano,36,45,81,Hidden
-3,-2,Volcano,78,3,81,Hidden
-3,-1,Volcano,80,1,81,Hidden
-3,0,Volcano,36,9,81,Hidden
-3,1,Rock,81,0,81,Hidden
-3,2,Rock,81,0,81,Hidden
-3,3,Rock,60,21,81,Hidden
-2,-3,Volcano,76,5,81,Hidden
-2,-2,Volcano,81,0,81,Hidden
-2,-1,Volcano,81,0,81,Hidden
-2,0,Volcano,36,9,81,Hidden
-2,1,Rock,81,0,81,Hidden
-2,2,Rock,81,0,81,Hidden
-2,3,Rock,81,0,81,Hidden
-1,-4,Volcano,46,35,81,Hidden
-1,-3,Volcano,80,1,81,Hidden
-1,-2,Volcano,81,0,81,Hidden
-1,-1,Volcano,42,0,81,Visible
-1,0,Grass,64,9,81,Visible
-1,1,Rock,42,0,81,Visible
-1,2,Rock,81,0,81,Hidden
-1,3,Rock,81,0,81,Hidden
-1,4,Rock,66,15,81,Hidden
0,-4,Desert,32,28,81,Hidden
0,-3,Volcano,36,9,81,Hidden
0,-2,Volcano,36,9,81,Hidden
0,-1,Grass,64,9,81,Visible
0,0,Grass,60,21,81,Conquered
0,1,Grass,64,9,81,Visible
0,2,Rock,36,9,81,Hidden
0,3,Rock,36,9,81,Hidden
0,4,Snow,32,20,81,Hidden
1,-4,Desert,66,15,81,Hidden
1,-3,Desert,81,0,81,Hidden
1,-2,Desert,81,0,81,Hidden
1,-1,Desert,42,0,81,Visible
1,0,Grass,64,9,81,Visible
1,1,Snow,42,0,81,Visible
1,2,Snow,81,0,81,Hidden
1,3,Snow,81,0,81,Hidden
1,4,Snow,66,15,81,Hidden
2,-3,Desert,81,0,81,Hidden
2,-2,Desert,81,0,81,Hidden
2,-1,Desert,81,0,81,Hidden
2,0,Desert,36,9,81,Hidden
2,1,Snow,81,0,81,Hidden
2,2,Snow,81,0,81,Hidden
2,3,Snow,81,0,81,Hidden
3,-3,Desert,60,21,81,Hidden
3,-2,Desert,81,0,81,Hidden
3,-1,Desert,81,0,81,Hidden
3,0,Desert,36,9,81,Hidden
3,1,Snow,81,0,81,Hidden
3,2,Snow,81,0,81,Hidden
3,3,Snow,60,21,81,Hidden
4,-1,Desert,66,15,81,Hidden
4,0,Snow,32,20,81,Hidden
4,1,Snow,66,15,81,Hidden
