"Id","String"
"research_node_tower_damage_name","[미정] 기본 훈련"
"research_node_tower_damage_description","[미정] 전 타워 공격력 +10%"
"research_node_tower_range_1_name","[미정] 사거리 확장 I"
"research_node_tower_range_1_description","[미정] 사거리 +15%"
"research_node_tower_firerate_1_name","[미정] 연사 개량 I"
"research_node_tower_firerate_1_description","[미정] 공격속도 +12%"
"research_node_tower_manpower_1_name","[미정] 인력 효율 I"
"research_node_tower_manpower_1_description","[미정] 타워 필요 인구 -1 (하한 1)"
"research_node_tower_elemental_unlock_name","[미정] 속성 타워 해금"
"research_node_tower_elemental_unlock_description","[미정] 바이옴 특화 타워 건설 가능"
"research_node_tower_pierce_splash_name","[미정] 관통/스플래시"
"research_node_tower_pierce_splash_description","[미정] 다중 타격 계열 해금"
"research_node_tower_elemental_branch_name","[미정] 속성 특화 분기"
"research_node_tower_elemental_branch_description","[미정] 속성별 특화 효과 강화"
"research_node_grass_cultivation_name","[미정] 초원 경작"
"research_node_grass_cultivation_description","[미정] 농장·광산 생산량 +10%"
"research_node_production_outer_basic_name","[미정] 외곽 기초자원 채집"
"research_node_production_outer_basic_description","[미정] 외곽 바이옴 기초 4자원 채집 해금"
"research_node_production_specialized_name","[미정] 특화 생산 시설"
"research_node_production_specialized_description","[미정] 바이옴 특화 자원 효율 +20%"
"research_node_production_slime_farm_name","[미정] 슬라임 양식"
"research_node_production_slime_farm_description","[미정] 특화 지역 슬라임 생산 +25%"
"research_node_production_optimize_name","[미정] 생산 최적화"
"research_node_production_optimize_description","[미정] 생산 시설 필요 인구 -1 (하한 1)"
"research_node_production_diagonal_name","[미정] 대각선 지대 개발"
"research_node_production_diagonal_description","[미정] 고수익 대각선 지대 생산 보너스"
"research_node_production_auto_line_name","[미정] 자동 생산 라인"
"research_node_production_auto_line_description","[미정] 정산 시 일부 자원 자동 증산"
"research_node_convenience_scout_1_name","[미정] 정찰 I"
"research_node_convenience_scout_1_description","[미정] 전장의 안개 가시 반경 +1단계"
"research_node_convenience_lab_expand_1_name","[미정] 연구소 증축 I"
"research_node_convenience_lab_expand_1_description","[미정] 연구소 배치 가능 최대 인구 +N (RP 생성량↑)"
"research_node_convenience_tower_move_name","[미정] 타워 이동 해금"
"research_node_convenience_tower_move_description","[미정] 철거 없이 타워 이동 가능"
"research_node_convenience_castle_regen_1_name","[미정] 성 자동 회복 I"
"research_node_convenience_castle_regen_1_description","[미정] 매일 낮 성 체력 패시브 회복"
"research_node_convenience_castle_repair_name","[미정] 성 긴급 수리"
"research_node_convenience_castle_repair_description","[미정] 낮 자원 소모 즉시 수리 효율↑"
"research_node_convenience_expedition_logistics_name","[미정] 원정 물류"
"research_node_convenience_expedition_logistics_description","[미정] 점령 출격 비용/소요 감소"
"research_node_convenience_lab_expand_2_name","[미정] 연구소 증축 II"
"research_node_convenience_lab_expand_2_description","[미정] 연구소 배치 가능 최대 인구 추가 확장"
"research_node_convenience_scout_2_name","[미정] 정찰 II"
"research_node_convenience_scout_2_description","[미정] 가시 반경 대폭 확장 + 랜드마크 표시"
"research_node_convenience_batch_manage_name","[미정] 일괄 배치/관리"
"research_node_convenience_batch_manage_description","[미정] 타워·인구 배치 편의 UI 해금"
"research_node_convenience_auto_settle_name","[미정] 자동 정산 보조"
"research_node_convenience_auto_settle_description","[미정] 정산·배분 자동화 편의"
"research_window_header","연구"
"research_button","연구!"
"research_branch_tower","타워"
"research_branch_production","생산"
"research_branch_convenience","편의"
"research_tier_caption_1","게임 시작"
"research_tier_caption_2","1주기 종료"
"research_tier_caption_3","2주기 종료"
"research_tier_caption_4","3주기 종료"
"research_tier_label","T{0}"
"research_tier_locked_badge","{0}주기"
"research_rp_amount","연구 포인트: {0}"
"research_population_amount","연구 인구: {0}/{1}"
"research_rp_cost","RP {0}"
"research_resource_cost","{0} {1}"
"research_unknown_resource","[미정] 자원"
"research_state_completed","완료"
"research_state_day_only","낮에만 가능"
"research_state_tier_locked","티어 잠김"
"research_state_prerequisite_locked","선행 필요"
"research_state_insufficient_rp","RP 부족"
"research_state_insufficient_resources","자원 부족"
"research_state_available","연구 가능"
"research_state_invalid","이용 불가"
