"Id","String"
"dragon_gate_kin_owned_ice","[TBD] Locked: requires a ice baby dragon"
"dragon_attribute_ice","[TBD] Ice"
"dragon_gate_kin_owned_fire","[TBD] Locked: requires a fire baby dragon"
"dragon_attribute_fire","[TBD] Fire"
"dragon_gate_kin_owned_time","[TBD] Locked: requires a time baby dragon"
"dragon_attribute_time","[TBD] Time"
"dragon_gate_kin_owned_stone","[TBD] Locked: requires a stone baby dragon"
"dragon_attribute_stone","[TBD] Stone"
"dragon_gate_kin_owned_life","[TBD] Locked: requires a life baby dragon"
"dragon_attribute_life","[TBD] Life"
"dragon_gate_kin_count_enhance","[TBD] Locked: requires {0} unlocked baby dragon nodes"
"dragon_gate_kin_count_ultimate","[TBD] Locked: requires {0} unlocked baby dragon nodes"
"dragon_skill_freeze_all_name","[TBD] Freeze All"
"dragon_skill_freeze_all_desc","[TBD] Freezes all enemies currently on the field."
"dragon_skill_global_damage_name","[TBD] Burn Surge"
"dragon_skill_global_damage_desc","[TBD] Deals damage to all enemies and reapplies burn."
"dragon_skill_repair_towers_name","[TBD] Instant Repair"
"dragon_skill_repair_towers_desc","[TBD] Instantly revives all disabled towers."
"dragon_skill_meteor_name","[TBD] Meteor"
"dragon_skill_meteor_desc","[TBD] Calls down a meteor on a target area."
"dragon_node_ice_awaken_name","[TBD] Ice Awaken"
"dragon_node_ice_awaken_desc","[TBD] Passive (while active): Tower basic attacks apply slow."
"dragon_node_ice_active_name","[TBD] Ice Active I"
"dragon_node_ice_active_desc","[TBD] Active skill: Freeze all enemies."
"dragon_node_ice_enhance_name","[TBD] Ice Enhance"
"dragon_node_ice_enhance_desc","[TBD] Enhances the active skill above."
"dragon_node_ice_ultimate_name","[TBD] Ice Ultimate"
"dragon_node_ice_ultimate_desc","[TBD] Final upgrade of this attribute."
"dragon_node_ice_kin_tower_name","[TBD] Ice Kin Tower"
"dragon_node_ice_kin_tower_desc","[TBD] Slow tower."
"dragon_node_ice_kin_area_name","[TBD] Ice Kin Area"
"dragon_node_ice_kin_area_desc","[TBD] Freeze nearby rivers to allow building placement."
"dragon_node_fire_awaken_name","[TBD] Fire Awaken"
"dragon_node_fire_awaken_desc","[TBD] Passive (while active): Apply burn to all enemies."
"dragon_node_fire_active_name","[TBD] Fire Active I"
"dragon_node_fire_active_desc","[TBD] Active skill: Reapply burn + deal global damage."
"dragon_node_fire_enhance_name","[TBD] Fire Enhance"
"dragon_node_fire_enhance_desc","[TBD] Enhances the active skill above."
"dragon_node_fire_ultimate_name","[TBD] Fire Ultimate"
"dragon_node_fire_ultimate_desc","[TBD] Final upgrade of this attribute."
"dragon_node_fire_kin_tower_name","[TBD] Fire Kin Tower"
"dragon_node_fire_kin_tower_desc","[TBD] Burn tower."
"dragon_node_fire_kin_area_name","[TBD] Fire Kin Area"
"dragon_node_fire_kin_area_desc","[TBD] Increase vision range."
"dragon_node_time_awaken_name","[TBD] Time Awaken"
"dragon_node_time_awaken_desc","[TBD] Passive (while active): Increase tower attack speed."
"dragon_node_time_active_name","[TBD] Time Active I"
"dragon_node_time_active_desc","[TBD] Active skill: Instantly repair destroyed towers."
"dragon_node_time_enhance_name","[TBD] Time Enhance"
"dragon_node_time_enhance_desc","[TBD] Enhances the active skill above."
"dragon_node_time_ultimate_name","[TBD] Time Ultimate"
"dragon_node_time_ultimate_desc","[TBD] Final upgrade of this attribute."
"dragon_node_time_kin_tower_name","[TBD] Time Kin Tower"
"dragon_node_time_kin_tower_desc","[TBD] Effect not yet defined."
"dragon_node_time_kin_area_name","[TBD] Time Kin Area"
"dragon_node_time_kin_area_desc","[TBD] Reduces conquest duration (approximates joining expeditions)."
"dragon_node_stone_awaken_name","[TBD] Stone Awaken"
"dragon_node_stone_awaken_desc","[TBD] Passive (while active): Increase mine production."
"dragon_node_stone_active_name","[TBD] Stone Active I"
"dragon_node_stone_active_desc","[TBD] Active skill: Meteor."
"dragon_node_stone_enhance_name","[TBD] Stone Enhance"
"dragon_node_stone_enhance_desc","[TBD] Enhances the active skill above."
"dragon_node_stone_ultimate_name","[TBD] Stone Ultimate"
"dragon_node_stone_ultimate_desc","[TBD] Final upgrade of this attribute."
"dragon_node_stone_kin_tower_name","[TBD] Stone Kin Tower"
"dragon_node_stone_kin_tower_desc","[TBD] Effect not yet defined."
"dragon_node_stone_kin_area_name","[TBD] Stone Kin Area"
"dragon_node_stone_kin_area_desc","[TBD] Increase nearby mine production."
"dragon_node_life_awaken_name","[TBD] Life Awaken"
"dragon_node_life_awaken_desc","[TBD] Passive (while active): Increase farm production."
"dragon_node_life_active_name","[TBD] Life Active I"
"dragon_node_life_active_desc","[TBD] Active skill: Barricade."
"dragon_node_life_enhance_name","[TBD] Life Enhance"
"dragon_node_life_enhance_desc","[TBD] Enhances the active skill above."
"dragon_node_life_ultimate_name","[TBD] Life Ultimate"
"dragon_node_life_ultimate_desc","[TBD] Final upgrade of this attribute."
"dragon_node_life_kin_tower_name","[TBD] Life Kin Tower"
"dragon_node_life_kin_tower_desc","[TBD] Effect not yet defined."
"dragon_node_life_kin_area_name","[TBD] Life Kin Area"
"dragon_node_life_kin_area_desc","[TBD] Increase nearby farm production."
"dragon_window_header","Dragons"
"dragon_upgrade_button","Upgrade!"
"dragon_state_invalid","Unavailable"
"dragon_state_completed","Completed"
"dragon_state_unavailable_phase","Available during the day only"
"dragon_state_prerequisite_locked","Prerequisite Required"
"dragon_state_gate_locked","Locked"
"dragon_state_insufficient_resources","Insufficient Resources"
"dragon_state_available","Available"
"dragon_resource_cost","{0} {1}"
"dragon_unknown_resource","[TBD] Resource"
