"Id","String"
"dragon_skill_freeze_all_name","[미정] 전역 빙결"
"dragon_skill_freeze_all_desc","[미정] 현재 필드의 모든 적을 빙결시킵니다."
"dragon_skill_global_damage_name","[미정] 전역 화염 피해"
"dragon_skill_global_damage_desc","[미정] 모든 적에게 피해를 줍니다."
"dragon_skill_repair_towers_name","[미정] 즉시 재활성화"
"dragon_skill_repair_towers_desc","[미정] 비활성화된 모든 타워를 즉시 복구합니다."
"dragon_skill_meteor_name","[미정] 메테오+방벽"
"dragon_skill_meteor_desc","[미정] 지정 지역을 타격하고, 그 자리에 몬스터의 진로를 막는 방벽을 세웁니다."
"dragon_skill_castle_heal_name","[미정] 성 회복"
"dragon_skill_castle_heal_desc","[미정] 성 체력을 즉시 회복합니다."
"dragon_gate_kin_owned_ice","[미정] 잠김: 얼음 새끼용을 보유해야 합니다"
"dragon_attribute_ice","얼음"
"dragon_gate_kin_owned_fire","[미정] 잠김: 불 새끼용을 보유해야 합니다"
"dragon_attribute_fire","불"
"dragon_gate_kin_owned_time","[미정] 잠김: 시간 새끼용을 보유해야 합니다"
"dragon_attribute_time","시간"
"dragon_gate_kin_owned_stone","[미정] 잠김: 암석 새끼용을 보유해야 합니다"
"dragon_attribute_stone","암석"
"dragon_gate_kin_owned_life","[미정] 잠김: 생명 새끼용을 보유해야 합니다"
"dragon_attribute_life","생명"
"dragon_gate_kin_rank_deep","[미정] 잠김: 이 속성의 새끼용 노드를 더 강화해야 합니다"
"dragon_gate_kin_rank_ultimate","[미정] 잠김: 이 속성 새끼용을 최대로 강화하거나, 두 갈래를 모두 완주해야 합니다"
"dragon_node_ice_unlock_name","[미정] 얼음 액티브 해금"
"dragon_node_ice_unlock_desc","[미정] 얼음 어미용의 액티브 스킬을 해금합니다."
"dragon_node_ice_active1_name","[미정] 얼음 액티브 강화 I"
"dragon_node_ice_active1_desc","[미정] 액티브 [전역 빙결]의 쿨다운이 줄어듭니다."
"dragon_node_ice_active2_name","[미정] 얼음 액티브 강화 II"
"dragon_node_ice_active2_desc","[미정] 액티브 [전역 빙결]의 빙결 지속시간이 늘어납니다."
"dragon_node_ice_passive1_name","[미정] 얼음 생산 강화"
"dragon_node_ice_passive1_desc","[미정] 얼음 활성 시 관련 자원의 생산량이 증가합니다."
"dragon_node_ice_passive2_name","[미정] 얼음 가동 강화"
"dragon_node_ice_passive2_desc","[미정] 얼음 활성 시, 얼음 속성 타워의 공격속도가 증가합니다(다른 속성 타워는 영향 없음)."
"dragon_node_ice_ultimate_name","[미정] 얼음 궁극"
"dragon_node_ice_ultimate_desc","[미정] 얼음의 패시브가 다른 속성을 사용하는 동안에도 절반 남습니다. 또한 액티브 스킬이 최종 강화됩니다."
"dragon_node_ice_kin_tower_name","[미정] 얼음 새끼용 숙련"
"dragon_node_ice_kin_tower_desc","[미정] 얼음 새끼용의 공격에 둔화가 붙고, 강화할수록 자신의 공격력이 증가합니다."
"dragon_node_ice_kin_area_name","[미정] 얼음 새끼용 지역 강화"
"dragon_node_ice_kin_area_desc","[미정] 얼음 새끼용의 버프 범위가 넓어져 강 결빙(건설 해제) 범위가 확대됩니다."
"dragon_node_fire_unlock_name","[미정] 불 액티브 해금"
"dragon_node_fire_unlock_desc","[미정] 불 어미용의 액티브 스킬을 해금합니다."
"dragon_node_fire_active1_name","[미정] 불 액티브 강화 I"
"dragon_node_fire_active1_desc","[미정] 액티브 [전역 화염 피해]의 위력이 강해집니다."
"dragon_node_fire_active2_name","[미정] 불 액티브 강화 II"
"dragon_node_fire_active2_desc","[미정] 액티브 [전역 화염 피해]의 쿨다운이 줄어듭니다."
"dragon_node_fire_passive1_name","[미정] 불 생산 강화"
"dragon_node_fire_passive1_desc","[미정] 불 활성 시 관련 자원의 생산량이 증가합니다."
"dragon_node_fire_passive2_name","[미정] 불 가동 강화"
"dragon_node_fire_passive2_desc","[미정] 불 활성 시, 불 속성 타워의 공격력이 증가합니다(다른 속성 타워는 영향 없음)."
"dragon_node_fire_ultimate_name","[미정] 불 궁극"
"dragon_node_fire_ultimate_desc","[미정] 불의 패시브가 다른 속성을 사용하는 동안에도 절반 남습니다. 또한 액티브 스킬이 최종 강화됩니다."
"dragon_node_fire_kin_tower_name","[미정] 불 새끼용 숙련"
"dragon_node_fire_kin_tower_desc","[미정] 불 새끼용이 입히는 화상 피해가 증가합니다."
"dragon_node_fire_kin_area_name","[미정] 불 새끼용 지역 강화"
"dragon_node_fire_kin_area_desc","[미정] 불 새끼용 자신의 공격 사거리가 증가합니다."
"dragon_node_time_unlock_name","[미정] 시간 액티브 해금"
"dragon_node_time_unlock_desc","[미정] 시간 어미용의 액티브 스킬을 해금합니다."
"dragon_node_time_active1_name","[미정] 시간 액티브 강화 I"
"dragon_node_time_active1_desc","[미정] 액티브 [즉시 재활성화]의 쿨다운이 줄어듭니다."
"dragon_node_time_active2_name","[미정] 시간 액티브 강화 II"
"dragon_node_time_active2_desc","[미정] 액티브 [즉시 재활성화]의 쿨다운이 줄어듭니다."
"dragon_node_time_passive1_name","[미정] 시간 생산 강화"
"dragon_node_time_passive1_desc","[미정] 시간 활성 시 관련 자원의 생산량이 증가합니다."
"dragon_node_time_passive2_name","[미정] 시간 가동 강화"
"dragon_node_time_passive2_desc","[미정] 시간 활성 시, 시간 속성 타워의 공격속도가 증가합니다(다른 속성 타워는 영향 없음)."
"dragon_node_time_ultimate_name","[미정] 시간 궁극"
"dragon_node_time_ultimate_desc","[미정] 시간의 패시브가 다른 속성을 사용하는 동안에도 절반 남습니다. 또한 원정(점령)에 소모되는 일수가 1 줄어듭니다."
"dragon_node_time_kin_tower_name","[미정] 시간 새끼용 숙련"
"dragon_node_time_kin_tower_desc","[미정] 시간 새끼용 자신의 공격속도가 증가합니다."
"dragon_node_time_kin_area_name","[미정] 시간 새끼용 지역 강화"
"dragon_node_time_kin_area_desc","[미정] 시간 새끼용의 버프 범위가 넓어져 사막 페널티 완화 범위가 확대됩니다."
"dragon_node_stone_unlock_name","[미정] 암석 액티브 해금"
"dragon_node_stone_unlock_desc","[미정] 암석 어미용의 액티브 스킬을 해금합니다."
"dragon_node_stone_active1_name","[미정] 암석 액티브 강화 I"
"dragon_node_stone_active1_desc","[미정] 메테오의 피해량이 늘어납니다."
"dragon_node_stone_active2_name","[미정] 암석 액티브 강화 II"
"dragon_node_stone_active2_desc","[미정] 설치되는 방벽의 최대 체력이 늘어납니다."
"dragon_node_stone_passive1_name","[미정] 암석 생산 강화"
"dragon_node_stone_passive1_desc","[미정] 암석 활성 시 관련 자원의 생산량이 증가합니다."
"dragon_node_stone_passive2_name","[미정] 암석 가동 강화"
"dragon_node_stone_passive2_desc","[미정] 암석 활성 시, 암석 속성 타워의 공격력이 증가합니다(다른 속성 타워는 영향 없음)."
"dragon_node_stone_ultimate_name","[미정] 암석 궁극"
"dragon_node_stone_ultimate_desc","[미정] 암석의 패시브가 다른 속성을 사용하는 동안에도 절반 남습니다. 또한 액티브 [메테오+방벽]의 일일 사용 횟수가 늘어납니다."
"dragon_node_stone_kin_tower_name","[미정] 암석 새끼용 숙련"
"dragon_node_stone_kin_tower_desc","[미정] 암석 새끼용 자신의 공격력이 증가합니다."
"dragon_node_stone_kin_area_name","[미정] 암석 새끼용 지역 강화"
"dragon_node_stone_kin_area_desc","[미정] 암석 새끼용 주변 광산의 생산량이 증가합니다."
"dragon_node_life_unlock_name","[미정] 생명 액티브 해금"
"dragon_node_life_unlock_desc","[미정] 생명 어미용의 액티브 스킬을 해금합니다."
"dragon_node_life_active1_name","[미정] 생명 액티브 강화 I"
"dragon_node_life_active1_desc","[미정] 액티브 [성 회복]의 쿨다운이 줄어듭니다."
"dragon_node_life_active2_name","[미정] 생명 액티브 강화 II"
"dragon_node_life_active2_desc","[미정] 액티브 [성 회복]의 회복량이 늘어납니다."
"dragon_node_life_passive1_name","[미정] 생명 생산 강화"
"dragon_node_life_passive1_desc","[미정] 생명 활성 시 관련 자원의 생산량이 증가합니다."
"dragon_node_life_passive2_name","[미정] 생명 가동 강화"
"dragon_node_life_passive2_desc","[미정] 생명 활성 시, 모든 타워의 최대 체력이 증가합니다."
"dragon_node_life_ultimate_name","[미정] 생명 궁극"
"dragon_node_life_ultimate_desc","[미정] 생명의 패시브가 다른 속성을 사용하는 동안에도 절반 남습니다. 또한 액티브 스킬이 최종 강화됩니다."
"dragon_node_life_kin_tower_name","[미정] 생명 새끼용 숙련"
"dragon_node_life_kin_tower_desc","[미정] 생명 새끼용 버프모드의 효과 범위가 넓어집니다."
"dragon_node_life_kin_area_name","[미정] 생명 새끼용 지역 강화"
"dragon_node_life_kin_area_desc","[미정] 생명 새끼용 주변 농장의 생산량이 증가합니다."
"dragon_window_header","용"
"dragon_upgrade_button","강화!"
"dragon_rank_badge","Lv {0}/{1}"
"dragon_state_invalid","이용 불가"
"dragon_state_completed","완료"
"dragon_state_unavailable_phase","낮에만 가능"
"dragon_state_prerequisite_locked","선행 필요"
"dragon_state_gate_locked","잠김"
"dragon_state_insufficient_resources","자원 부족"
"dragon_state_available","해금 가능"
"dragon_resource_cost","{0} {1}"
"dragon_unknown_resource","[미정] 자원"
