"Id","String"
"guide_confirm_button","[TBD] Next"
"tutorial_ending_next","[TBD] Next"
"tutorial_conquest_unreachable","[TBD] You cannot go there. Pick a green tile."
"tutorial_day1_next_hint","[TBD] When an explanation ends, press [Next] to continue."
"tutorial_day1_next_hint_2","[TBD] When there is something to click, it will be lit up."
"tutorial_day1_intro","[TBD] At night, monsters pour from the portals to the castle."
"tutorial_day1_intro_2","[TBD] If the castle falls it is over. Block their path by day."
"tutorial_day1_enter_build_mode","[TBD] Press the BUILD MODE button to open the build panel."
"tutorial_day1_select_tower_tab","[TBD] Open the TOWER tab to see what you can build."
"tutorial_day1_select_tower","[TBD] Pick the ARROW tower. The numbers on each entry are its build cost."
"tutorial_day1_place_tower","[TBD] Click a green tile to raise the tower."
"tutorial_day1_select_second_tower","[TBD] Pick one more tower. A single tower rarely survives the night."
"tutorial_day1_place_second_tower","[TBD] Place the second tower on a green tile as well."
"tutorial_day1_close_build_panel","[TBD] Press ESC, or the BUILD MODE button again, to close the build panel."
"tutorial_day1_click_tower","[TBD] Click the tower you just built."
"tutorial_day1_assign_population","[TBD] Press +1 ASSIGN to staff this tower with one worker."
"tutorial_day1_operation_rate","[TBD] The closer to full staff, the higher the operation rate."
"tutorial_day1_operation_rate_2","[TBD] It raises damage and range. Unstaffed towers do not fire."
"tutorial_day1_unassign_one","[TBD] Press -1 UNASSIGN to pull one worker back."
"tutorial_day1_assign_all","[TBD] Press ALL ASSIGN to fill this tower to capacity at once."
"tutorial_day1_unassign_all_info","[TBD] ALL UNASSIGN pulls every worker back at once."
"tutorial_day1_close_population_panel","[TBD] Press CLOSE to close the staffing panel."
"tutorial_day1_click_second_tower","[TBD] Click the other tower, the one you left unstaffed."
"tutorial_day1_open_build_mode_remove","[TBD] Press BUILD MODE to open the build panel. Demolishing is done from here."
"tutorial_day1_resource_before_remove","[TBD] Note your resources above before you demolish."
"tutorial_day1_remove_info","[TBD] Press REMOVE, then click the tower you want to tear down."
"tutorial_day1_refund_info","[TBD] Your resources came back. Same-day demolition refunds all."
"tutorial_day1_refund_info_2","[TBD] After a day only 70% returns. Fix mistakes before it ends."
"tutorial_day1_open_building_tab","[TBD] Open the BUILDING tab."
"tutorial_day1_select_research_lab","[TBD] Pick the research lab."
"tutorial_day1_place_research_lab","[TBD] Click a green tile to build the lab."
"tutorial_day1_click_research_lab","[TBD] Click the lab you just built."
"tutorial_day1_assign_lab_population","[TBD] Press +1 ASSIGN to staff the lab."
"tutorial_day1_research_point_info","[TBD] Lab workers bring research points at the end of each night."
"tutorial_day1_research_point_info_2","[TBD] An unstaffed lab earns nothing at all."
"tutorial_day1_research_button_info","[TBD] You spend research points through the RESEARCH button."
"tutorial_day1_research_button_info_2","[TBD] You have none today. Come back tomorrow morning."
"tutorial_day1_food_info","[TBD] Your people eat every day. Food comes from farms."
"tutorial_day1_food_info_2","[TBD] Run out and your people leave, idling towers and workshops."
"tutorial_day1_open_factory_tab","[TBD] Open the FACTORY tab."
"tutorial_day1_select_farm","[TBD] Pick FARM FIELD."
"tutorial_day1_place_farm","[TBD] Click a green tile to build the farm."
"tutorial_day1_click_farm","[TBD] Click the farm you just built."
"tutorial_day1_assign_farm_population","[TBD] Press +1 ASSIGN to staff the farm."
"tutorial_day1_staffing_info","[TBD] Production scales with the workers you assign."
"tutorial_day1_staffing_info_2","[TBD] How you split them decides each day's output."
"tutorial_day1_close_farm_panel","[TBD] Press CLOSE to close the staffing panel."
"tutorial_day1_enter_conquest","[TBD] Press the CLAIM button to open claim mode."
"tutorial_day1_territory_colors","[TBD] Yellow marks your land, green is what you can claim."
"tutorial_day1_territory_colors_2","[TBD] Red is out of reach. Claims spread only from your land."
"tutorial_day1_chunk_overlay_info","[TBD] The figures show added population and resources."
"tutorial_day1_select_chunk","[TBD] Choose a tile to claim and click it."
"tutorial_day1_conquest_duration","[TBD] DURATION is how many days the expedition needs."
"tutorial_day1_conquest_monster","[TBD] Land marked MONSTER strengthens the monsters you face."
"tutorial_day1_conquest_monster_2","[TBD] Weigh what you gain against what you must hold off."
"tutorial_day1_conquest_cost","[TBD] COST TO CONQUER is the price. Scroll it sideways."
"tutorial_day1_send_expedition","[TBD] Press CLAIM to send the expedition."
"tutorial_day1_claiming_info","[TBD] Land being claimed is outlined in grey."
"tutorial_day1_claiming_info_2","[TBD] Survive that night and it is yours. Lose and it is void."
"tutorial_day1_exit_conquest","[TBD] Press ESC, or the CLAIM button again, to leave claim mode."
"tutorial_day1_egg_granted","[TBD] A dragon's blessing has come to you. You have received a Life dragon egg."
"tutorial_day1_open_inventory","[TBD] Press the DRAGON button at the bottom right to open the dragon window."
"tutorial_day1_egg_tab","[TBD] Open the BABY DRAGON tab. Eggs and hatchlings are kept here."
"tutorial_day1_egg_hatch_info","[TBD] Eggs you receive are held in this list."
"tutorial_day1_egg_hatch_info_2","[TBD] Each shows days left. Close the window and let a day pass."
"tutorial_day1_close_inventory","[TBD] Close the window."
"tutorial_day1_night_hint","[TBD] That is all for today. The rest of the day is yours."
"tutorial_day1_night_hint_2","[TBD] Press NEXT NIGHT once you have built up for the night."
"tutorial_day1_enter_worker_mode","[TBD] Press the WORK MODE button."
"tutorial_day1_worker_overlay_info","[TBD] Each building now shows its workers and capacity."
"tutorial_day1_worker_assign","[TBD] Left click a building to assign one worker."
"tutorial_day1_worker_unassign","[TBD] Right click the same building to pull one worker back."
"tutorial_day1_worker_bulk_info","[TBD] Shift-click moves up to capacity, Ctrl-click moves five."
"tutorial_day1_worker_bulk_info_2","[TBD] Left click still assigns, right click still withdraws."
"tutorial_day1_exit_worker_mode","[TBD] Press ESC, or the WORK MODE button again, to leave this mode."
"tutorial_day2_morning_settlement","[TBD] Morning has come. Every night ends with the day being settled."
"tutorial_day2_food_upkeep","[TBD] Your people have eaten their food."
"tutorial_day2_research_point_gained","[TBD] The research points your lab gathered last night have arrived."
"tutorial_day2_conquest_complete","[TBD] The expedition arrived. The land is yours."
"tutorial_day2_egg_hatched","[TBD] Your egg has hatched."
"tutorial_day2_open_inventory","[TBD] Press the DRAGON button to open the dragon window."
"tutorial_day2_dragon_tab","[TBD] Open the BABY DRAGON tab."
"tutorial_day2_dragon_slot","[TBD] The hatchling has joined this list of baby dragons."
"tutorial_day2_slime_diet","[TBD] A baby dragon only eats slimes of its own attribute."
"tutorial_day2_slime_diet_2","[TBD] The list shows which slime and how much per day."
"tutorial_day2_select_dragon","[TBD] Click the baby dragon to start placing it."
"tutorial_day2_place_dragon","[TBD] Click a green tile to set the baby dragon down."
"tutorial_day2_click_dragon","[TBD] Click the baby dragon you just placed."
"tutorial_day2_manage_panel_info","[TBD] Here you see its condition and the effect it gives."
"tutorial_day2_status_row","[TBD] This tells you whether the baby dragon is currently doing its job."
"tutorial_day2_feed_row","[TBD] The slimes it eats each day, and how many."
"tutorial_day2_buff_row","[TBD] How far its effect reaches. Buildings inside this range benefit from it."
"tutorial_day2_buff_multiplier_row","[TBD] How strong that effect is for buildings within range."
"tutorial_day2_starving_info","[TBD] A hungry baby dragon loses its effect and stops working."
"tutorial_day2_starving_info_2","[TBD] More dragons eat more. Keep only as many as you can feed."
"tutorial_day2_open_skill_tree","[TBD] Press the SKILL TREE button."
"tutorial_day2_close_skill_tree","[TBD] Resources unlock skills here. Close the window."
"tutorial_day2_relocate_dragon","[TBD] Press RELOCATE and move the baby dragon somewhere else."
"tutorial_day2_reclick_after_relocate","[TBD] Click the baby dragon again in its new spot."
"tutorial_day2_demolish_dragon","[TBD] Press DEMOLISH to take the baby dragon back from this tile."
"tutorial_day2_check_inventory","[TBD] Press the DRAGON button to open the window."
"tutorial_day2_replace_dragon","[TBD] Set the baby dragon down again wherever you want it."
"tutorial_day2_slime_farm_intro","[TBD] The slimes your baby dragons eat come from slime farms."
"tutorial_day2_enter_build_mode","[TBD] Press the BUILD MODE button."
"tutorial_day2_open_factory_tab","[TBD] Open the FACTORY tab."
"tutorial_day2_select_slime_farm","[TBD] Pick the slime farm."
"tutorial_day2_place_slime_farm","[TBD] Click a green tile to build the slime farm."
"tutorial_day2_click_slime_farm","[TBD] Click the slime farm you just built."
"tutorial_day2_slime_farm_terrain_info","[TBD] The terrain you build on decides which slime you get."
"tutorial_day2_slime_farm_terrain_info_2","[TBD] Need a certain attribute? Claim that land first."
"tutorial_day2_assign_slime_farm_population","[TBD] Assign workers. The more you put in, the more slimes it yields."
"tutorial_day2_close_slime_farm_panel","[TBD] Press CLOSE to close the staffing panel."
"tutorial_day2_worker_mode_intro","[TBD] There is a mode that handles nothing but workers."
"tutorial_day2_click_research_lab","[TBD] Click the lab you built yesterday."
"tutorial_day2_research_point_check","[TBD] These are last night's research points."
