"Id","String"
"guide_confirm_button","[미정] 다음"
"tutorial_ending_next","[미정] 다음"
"tutorial_conquest_unreachable","[미정] 갈 수 없는 땅입니다. 초록색 땅을 고르세요."
"tutorial_day1_next_hint","[미정] 설명을 읽었으면 [다음] 버튼을 눌러 넘어가세요."
"tutorial_day1_next_hint_2","[미정] 눌러야 할 곳이 있을 때는 그곳이 밝게 표시됩니다."
"tutorial_day1_intro","[미정] 밤이 되면 포탈에서 몬스터가 성으로 몰려옵니다."
"tutorial_day1_intro_2","[미정] 성이 무너지면 끝입니다. 낮에 길목을 막아야 합니다."
"tutorial_day1_enter_build_mode","[미정] BUILD MODE 버튼을 눌러 건설 창을 여세요."
"tutorial_day1_select_tower_tab","[미정] TOWER 탭을 눌러 지을 수 있는 타워를 확인하세요."
"tutorial_day1_select_tower","[미정] ARROW 타워를 고르세요. 목록의 숫자는 건설에 드는 자원입니다."
"tutorial_day1_place_tower","[미정] 초록색 타일을 클릭해 타워를 세우세요."
"tutorial_day1_select_second_tower","[미정] 타워를 하나 더 고르세요. 한 기로는 밤을 넘기기 어렵습니다."
"tutorial_day1_place_second_tower","[미정] 두 번째 타워도 초록색 타일에 세우세요."
"tutorial_day1_close_build_panel","[미정] ESC를 누르거나 BUILD MODE 버튼을 다시 눌러 건설 창을 닫으세요."
"tutorial_day1_click_tower","[미정] 방금 세운 타워를 클릭하세요."
"tutorial_day1_assign_population","[미정] +1 ASSIGN 버튼을 눌러 이 타워에 인구를 한 명 배치하세요."
"tutorial_day1_operation_rate","[미정] 인구가 정원에 가까울수록 가동률이 오릅니다."
"tutorial_day1_operation_rate_2","[미정] 가동률이 오르면 공격력과 사거리도 오릅니다. 인구가 없으면 싸우지 않습니다."
"tutorial_day1_unassign_one","[미정] -1 UNASSIGN으로 인구를 한 명 빼 보세요."
"tutorial_day1_assign_all","[미정] ALL ASSIGN 버튼을 눌러 정원까지 한 번에 채우세요."
"tutorial_day1_unassign_all_info","[미정] ALL UNASSIGN은 인구를 한 번에 모두 거둡니다."
"tutorial_day1_close_population_panel","[미정] CLOSE 버튼을 눌러 인구 창을 닫으세요."
"tutorial_day1_click_second_tower","[미정] 인구를 배치하지 않은 다른 타워를 클릭하세요."
"tutorial_day1_open_build_mode_remove","[미정] BUILD MODE 버튼을 눌러 건설 창을 여세요. 건물을 철거하려면 이 창이 필요합니다."
"tutorial_day1_resource_before_remove","[미정] 철거하기 전에 위쪽의 보유 자원을 기억해 두세요."
"tutorial_day1_remove_info","[미정] REMOVE 버튼을 누른 뒤 철거할 타워를 클릭하세요."
"tutorial_day1_refund_info","[미정] 자원이 되돌아왔습니다. 지은 날 안에 철거하면 전액 환급됩니다."
"tutorial_day1_refund_info_2","[미정] 하루가 지나면 70%만 돌아옵니다. 그날 안에 정리하는 편이 이득입니다."
"tutorial_day1_open_building_tab","[미정] BUILDING 탭을 누르세요."
"tutorial_day1_select_research_lab","[미정] 연구소를 고르세요."
"tutorial_day1_place_research_lab","[미정] 초록색 타일을 클릭해 연구소를 세우세요."
"tutorial_day1_click_research_lab","[미정] 세운 연구소를 클릭하세요."
"tutorial_day1_assign_lab_population","[미정] +1 ASSIGN 버튼을 눌러 연구소에 인구를 배치하세요."
"tutorial_day1_research_point_info","[미정] 연구소의 인구가 밤이 끝날 때 연구 포인트를 모아 옵니다."
"tutorial_day1_research_point_info_2","[미정] 인구가 없으면 연구소가 있어도 쌓이지 않습니다."
"tutorial_day1_research_button_info","[미정] 모인 연구 포인트는 RESEARCH 버튼에서 씁니다."
"tutorial_day1_research_button_info_2","[미정] 오늘은 포인트가 없습니다. 내일 아침에 다시 오세요."
"tutorial_day1_food_info","[미정] 인구는 매일 식량을 먹습니다. 식량은 농장에서 나옵니다."
"tutorial_day1_food_info_2","[미정] 식량이 떨어지면 인구가 줄고, 타워와 시설도 함께 멈춥니다."
"tutorial_day1_open_factory_tab","[미정] FACTORY 탭을 누르세요."
"tutorial_day1_select_farm","[미정] FARM FIELD를 고르세요."
"tutorial_day1_place_farm","[미정] 초록색 타일을 클릭해 농장을 세우세요."
"tutorial_day1_click_farm","[미정] 세운 농장을 클릭하세요."
"tutorial_day1_assign_farm_population","[미정] +1 ASSIGN 버튼을 눌러 농장에 인구를 배치하세요."
"tutorial_day1_staffing_info","[미정] 생산 시설은 배치한 인구에 비례해 자원을 냅니다."
"tutorial_day1_staffing_info_2","[미정] 인구를 어디에 나눠 두느냐가 그날의 생산량을 정합니다."
"tutorial_day1_close_farm_panel","[미정] CLOSE 버튼을 눌러 인구 창을 닫으세요."
"tutorial_day1_enter_conquest","[미정] CLAIM 버튼을 눌러 점령 모드를 여세요."
"tutorial_day1_territory_colors","[미정] 노란 선 안이 내 땅, 초록색은 보낼 수 있는 땅입니다."
"tutorial_day1_territory_colors_2","[미정] 붉은색은 닿을 수 없습니다. 내 땅과 맞닿은 곳으로만 이어집니다."
"tutorial_day1_chunk_overlay_info","[미정] 땅 위 숫자는 늘어나는 인구와 캘 수 있는 자원입니다."
"tutorial_day1_select_chunk","[미정] 보낼 땅을 하나 골라 클릭하세요."
"tutorial_day1_conquest_duration","[미정] DURATION은 점령대가 도착하기까지의 날수입니다."
"tutorial_day1_conquest_monster","[미정] MONSTER 표시가 있는 땅은 얻으면 몬스터가 강해집니다."
"tutorial_day1_conquest_monster_2","[미정] 얻는 것과 감당할 것을 함께 재야 합니다."
"tutorial_day1_conquest_cost","[미정] COST TO CONQUER는 점령에 드는 자원입니다. 옆으로 밀어 보세요."
"tutorial_day1_send_expedition","[미정] CLAIM 버튼을 눌러 점령대를 보내세요."
"tutorial_day1_claiming_info","[미정] 점령 중인 땅은 회색 선으로 표시됩니다."
"tutorial_day1_claiming_info_2","[미정] 도착한 날 밤을 넘기면 내 땅이 됩니다. 성이 무너지면 무산됩니다."
"tutorial_day1_exit_conquest","[미정] ESC를 누르거나 CLAIM 버튼을 다시 눌러 점령 모드를 닫으세요."
"tutorial_day1_egg_granted","[미정] 용의 가호가 내렸습니다. 생명 속성의 용의 알을 받았습니다."
"tutorial_day1_open_inventory","[미정] 화면 오른쪽 아래 DRAGON 버튼을 눌러 용 창을 여세요."
"tutorial_day1_egg_tab","[미정] BABY DRAGON 탭을 누르세요. 알과 새끼용은 여기서 관리합니다."
"tutorial_day1_egg_hatch_info","[미정] 받은 알은 여기 알 목록에 담깁니다."
"tutorial_day1_egg_hatch_info_2","[미정] 부화까지 남은 날이 적혀 있습니다. 창을 닫고 하루를 보내세요."
"tutorial_day1_close_inventory","[미정] 창을 닫으세요."
"tutorial_day1_night_hint","[미정] 오늘 할 일은 여기까지입니다. 남은 낮은 자유롭게 쓰세요."
"tutorial_day1_night_hint_2","[미정] 밤에 대비했다면 NEXT NIGHT 버튼을 누르세요."
"tutorial_day1_enter_worker_mode","[미정] WORK MODE 버튼을 누르세요."
"tutorial_day1_worker_overlay_info","[미정] 건물마다 배치된 인구와 정원이 함께 표시됩니다."
"tutorial_day1_worker_assign","[미정] 건물을 왼쪽 클릭해 인구를 한 명 배치하세요."
"tutorial_day1_worker_unassign","[미정] 같은 건물을 오른쪽 클릭해 인구를 한 명 거두세요."
"tutorial_day1_worker_bulk_info","[미정] Shift + 클릭은 정원까지, Ctrl + 클릭은 다섯 명씩 움직입니다."
"tutorial_day1_worker_bulk_info_2","[미정] 왼쪽 클릭이 배치, 오른쪽 클릭이 회수인 것은 같습니다."
"tutorial_day1_exit_worker_mode","[미정] ESC를 누르거나 WORK MODE 버튼을 다시 눌러 이 모드를 닫을 수 있습니다."
"tutorial_day2_morning_settlement","[미정] 아침이 밝았습니다. 밤이 끝나면 하루치 정산이 이루어집니다."
"tutorial_day2_food_upkeep","[미정] 인구가 먹은 식량이 빠져나갔습니다."
"tutorial_day2_research_point_gained","[미정] 어젯밤 연구소가 모아 온 연구 포인트가 들어왔습니다."
"tutorial_day2_conquest_complete","[미정] 점령대가 도착해 그 땅이 내 것이 되었습니다."
"tutorial_day2_egg_hatched","[미정] 알이 부화했습니다."
"tutorial_day2_open_inventory","[미정] DRAGON 버튼을 눌러 용 창을 여세요."
"tutorial_day2_dragon_tab","[미정] BABY DRAGON 탭을 누르세요."
"tutorial_day2_dragon_slot","[미정] 깨어난 새끼용이 여기 새끼용 목록에 들어왔습니다."
"tutorial_day2_slime_diet","[미정] 새끼용은 자기 속성에 맞는 슬라임만 먹습니다."
"tutorial_day2_slime_diet_2","[미정] 목록에 먹는 슬라임과 하루 소모량이 적혀 있습니다."
"tutorial_day2_select_dragon","[미정] 새끼용을 클릭해 배치를 시작하세요."
"tutorial_day2_place_dragon","[미정] 초록색 타일을 클릭해 새끼용을 내려놓으세요."
"tutorial_day2_click_dragon","[미정] 내려놓은 새끼용을 클릭하세요."
"tutorial_day2_manage_panel_info","[미정] 새끼용의 상태와 주변에 주는 효과를 볼 수 있습니다."
"tutorial_day2_status_row","[미정] 지금 이 새끼용이 제 몫을 하고 있는지 알려 줍니다."
"tutorial_day2_feed_row","[미정] 하루에 먹는 슬라임의 종류와 양입니다."
"tutorial_day2_buff_row","[미정] 효과가 닿는 범위입니다. 이 안에 있는 건물이 도움을 받습니다."
"tutorial_day2_buff_multiplier_row","[미정] 범위 안 건물이 받는 효과의 크기입니다."
"tutorial_day2_starving_info","[미정] 슬라임이 모자라 굶으면 새끼용은 효과를 잃고 멈춥니다."
"tutorial_day2_starving_info_2","[미정] 마릿수가 늘수록 소모량도 늘어납니다. 먹일 만큼만 두세요."
"tutorial_day2_open_skill_tree","[미정] SKILL TREE 버튼을 누르세요."
"tutorial_day2_close_skill_tree","[미정] 자원으로 스킬을 해금합니다. 창을 닫으세요."
"tutorial_day2_relocate_dragon","[미정] RELOCATE 버튼을 눌러 새끼용을 다른 자리로 옮겨 보세요."
"tutorial_day2_reclick_after_relocate","[미정] 옮긴 새끼용을 다시 클릭하세요."
"tutorial_day2_demolish_dragon","[미정] DEMOLISH 버튼을 눌러 이 자리에서 새끼용을 거두세요."
"tutorial_day2_check_inventory","[미정] DRAGON 버튼을 눌러 용 창을 여세요."
"tutorial_day2_replace_dragon","[미정] 새끼용을 다시 원하는 자리에 내려놓으세요."
"tutorial_day2_slime_farm_intro","[미정] 새끼용이 먹을 슬라임은 슬라임 농장에서 나옵니다."
"tutorial_day2_enter_build_mode","[미정] BUILD MODE 버튼을 누르세요."
"tutorial_day2_open_factory_tab","[미정] FACTORY 탭을 누르세요."
"tutorial_day2_select_slime_farm","[미정] 슬라임 농장을 고르세요."
"tutorial_day2_place_slime_farm","[미정] 초록색 타일을 클릭해 슬라임 농장을 세우세요."
"tutorial_day2_click_slime_farm","[미정] 세운 슬라임 농장을 클릭하세요."
"tutorial_day2_slime_farm_terrain_info","[미정] 나오는 슬라임은 농장을 세운 땅의 속성이 정합니다."
"tutorial_day2_slime_farm_terrain_info_2","[미정] 필요한 속성이 있다면 그 땅을 먼저 얻어야 합니다."
"tutorial_day2_assign_slime_farm_population","[미정] 인구를 배치하세요. 많이 넣을수록 슬라임이 더 나옵니다."
"tutorial_day2_close_slime_farm_panel","[미정] CLOSE 버튼을 눌러 인구 창을 닫으세요."
"tutorial_day2_worker_mode_intro","[미정] 건물이 늘면 번거롭습니다. 인구만 다루는 모드가 있습니다."
"tutorial_day2_click_research_lab","[미정] 어제 세운 연구소를 클릭하세요."
"tutorial_day2_research_point_check","[미정] 어젯밤 모인 연구 포인트입니다."
"tutorial_day2_close_lab_panel","[미정] CLOSE 버튼을 눌러 인구 창을 닫으세요."
"tutorial_day2_open_research_window","[미정] RESEARCH 버튼을 눌러 연구 창을 여세요."
"tutorial_day2_unlock_node","[미정] 가장 아래 티어의 연구 하나를 골라 해금하세요."
"tutorial_day2_tier_info","[미정] 위쪽 티어는 주기가 지나야 열립니다. 먼저 무엇을 가져갈지 고르세요."
"tutorial_day2_close_research_window","[미정] 연구 창을 닫으세요."
"tutorial_day2_click_castle","[미정] 가운데 있는 메인 성을 클릭하세요."
